customer_id,total_orders,total_items,total_spent,avg_order_value,total_categories,top_category,avg_review_score,total_reviews,behavior_profile
c7a73d8fe5c01904adc31ea511af512a,1,1,30.0,30.0,1,beleza_saude,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
74e6e002a159fe9ce9775201287f7200,1,1,38.7,38.7,1,pet_shop,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""pet_shop"": 1}}"
8b82938b643c15649685382d619f2db6,1,1,32.0,32.0,1,fashion_bolsas_e_acessorios,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""fashion_bolsas_e_acessorios"": 1}}"
087c08f1c244014ad1decff147c3c038,1,1,21.9,21.9,1,eletronicos,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""eletronicos"": 1}}"
acfed1433ad9a30e9bb860a3a5ba8316,1,1,45.9,45.9,1,construcao_ferramentas_jardim,1.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""construcao_ferramentas_jardim"": 1}}"
9077572642c665ba8796dae2b3e407d1,1,1,78.0,78.0,1,relogios_presentes,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""relogios_presentes"": 1}}"
28cfdb6caa2f2821c935a3fedbb785ac,1,1,127.9,127.9,1,bebes,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""bebes"": 1}}"
0d34797f478a608695b3635dfaf86733,1,2,298.9,298.9,1,perfumaria,3.0,1.0,"{""purchase_frequency"": 2.0, ""total_categories"": 1, ""preferred_categories"": {""perfumaria"": 2}}"
9b3319b3639c92cd2e4a99bdfd0595c7,1,1,34.9,34.9,1,pet_shop,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""pet_shop"": 1}}"
b46d25caa332a03d042e6d3ac4958aec,1,1,19.9,19.9,1,consoles_games,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""consoles_games"": 1}}"
32ddbb258315f2a582ed71802e1f6c75,1,1,34.49,34.49,1,esporte_lazer,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""esporte_lazer"": 1}}"
